# Weather station Alexandroupoli (airport), Greece, WMO_ID=16627,selection from 01.01.2024 till 12.04.2026, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=16627&lang=en
#
"Local time in Alexandroupoli (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.11.2024 08:00";"11.0";"758.2";"758.6";"-0.6";"92";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"3.2";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.8";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"20.11.2024 05:00";"4.4";"758.8";"759.3";"-1.5";"93";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"3.4";"";"";"";"";"";"";
"20.11.2024 02:00";"3.2";"760.3";"760.8";"-1.1";"93";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"2.2";"No precipitation";"6";"";"";"";"";
"19.11.2024 23:00";"4.2";"761.4";"761.9";"-0.5";"90";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"2.7";"";"";"";"";"";"";
"19.11.2024 20:00";"7.0";"761.9";"762.3";"0.0";"88";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"16.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"5.2";"No precipitation";"12";"";"";"";"";
"19.11.2024 17:00";"13.6";"761.9";"762.3";"-0.3";"75";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"9.3";"";"";"";"";"";"";
"19.11.2024 14:00";"16.0";"762.2";"762.6";"-1.1";"54";"Wind blowing from the south";"3";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"6.7";"No precipitation";"6";"";"";"";"";
"19.11.2024 11:00";"12.2";"763.3";"763.7";"0.5";"65";"Wind blowing from the east-northeast";"2";"";"3";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"5.8";"";"";"";"";"";"";
"19.11.2024 08:00";"0.6";"762.8";"763.3";"0.9";"96";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"0.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"0.0";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"19.11.2024 05:00";"2.0";"761.9";"762.4";"0.8";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"0.4";"";"";"";"";"";"";
"19.11.2024 02:00";"3.0";"761.1";"761.6";"0.3";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"0.4";"No precipitation";"6";"";"";"";"";
"18.11.2024 23:00";"6.0";"760.8";"761.2";"0.5";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.1";"";"";"";"";"";"";
"18.11.2024 20:00";"7.8";"760.3";"760.7";"0.8";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"15.4";"";"";"";"";"";"20.0";"5.6";"No precipitation";"12";"";"";"";"";
"18.11.2024 17:00";"13.2";"759.5";"759.9";"0.4";"71";"Wind blowing from the west-southwest";"2";"";"6";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"8.0";"";"";"";"";"";"";
"18.11.2024 14:00";"15.2";"759.1";"759.5";"-0.5";"61";"Wind blowing from the south-west";"4";"";"7";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"7.6";"No precipitation";"6";"";"";"";"";
"18.11.2024 11:00";"13.0";"759.6";"760.0";"0.2";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"18.11.2024 08:00";"2.0";"759.4";"759.9";"0.6";"93";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"0.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"18.11.2024 05:00";"2.0";"758.8";"759.3";"-0.6";"89";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.4";"";"";"";"";"";"";
"18.11.2024 02:00";"4.0";"759.4";"759.9";"-0.2";"87";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.0";"No precipitation";"6";"";"";"";"";
"17.11.2024 23:00";"5.2";"759.6";"760.0";"-0.3";"84";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"2.7";"";"";"";"";"";"";
"17.11.2024 20:00";"9.0";"759.9";"760.3";"-0.2";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"11.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"4.5";"No precipitation";"12";"";"";"";"";
"17.11.2024 17:00";"10.6";"760.1";"760.5";"-0.8";"66";"Wind blowing from the east-northeast";"3";"";"6";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"4.4";"";"";"";"";"";"";
"17.11.2024 14:00";"11.0";"760.9";"761.3";"-1.2";"59";"Wind blowing from the north-east";"4";"";"8";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.3";"No precipitation";"6";"";"";"";"";
"17.11.2024 11:00";"10.4";"762.1";"762.5";"-0.3";"58";"Wind blowing from the north-east";"5";"";"8";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.5";"";"";"";"";"";"";
"17.11.2024 08:00";"8.2";"762.4";"762.8";"-1.0";"63";"Wind blowing from the north-east";"5";"";"9";"60%.";" ";"";"";"7.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"17.11.2024 05:00";"7.0";"763.4";"763.8";"-0.6";"63";"Wind blowing from the north-east";"6";"";"9";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.4";"";"";"";"";"";"";
"17.11.2024 02:00";"7.4";"764.0";"764.4";"-0.9";"61";"Wind blowing from the north-northeast";"6";"";"10";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.3";"No precipitation";"6";"";"";"";"";
"16.11.2024 23:00";"8.0";"764.9";"765.3";"-0.3";"59";"Wind blowing from the north-northeast";"7";"";"12";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.5";"";"";"";"";"";"";
"16.11.2024 20:00";"9.0";"765.2";"765.6";"0.2";"56";"Wind blowing from the north-northeast";"9";"";"12";"60%.";" ";"";"";"";"11.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.6";"No precipitation";"12";"";"";"";"";
"16.11.2024 17:00";"10.0";"765.0";"765.4";"-0.5";"58";"Wind blowing from the north-east";"5";"";"14";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.0";"";"";"";"";"";"";
"16.11.2024 14:00";"11.4";"765.5";"765.9";"-0.7";"60";"Wind blowing from the north-east";"8";"";"14";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.8";"No precipitation";"6";"";"";"";"";
"16.11.2024 11:00";"10.0";"766.2";"766.6";"0.9";"58";"Wind blowing from the north-east";"8";"";"13";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.0";"";"";"";"";"";"";
"16.11.2024 08:00";"8.4";"765.3";"765.7";"0.8";"63";"Wind blowing from the north-east";"8";"";"13";"90  or more, but not 100%";" ";"";"";"8.0";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.6";"Trace of precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"16.11.2024 05:00";"8.0";"764.5";"764.9";"0.1";"72";"Wind blowing from the north-east";"8";"";"13";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"3.3";"";"";"";"";"";"";
"16.11.2024 02:00";"8.4";"764.4";"764.8";"0.6";"73";"Wind blowing from the north-east";"8";"";"14";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"3.8";"Trace of precipitation";"6";"";"";"";"";
"15.11.2024 23:00";"9.0";"763.8";"764.2";"0.7";"82";"Wind blowing from the north-east";"8";"";"13";"90  or more, but not 100%";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"6.0";"";"";"";"";"";"";
"15.11.2024 20:00";"10.0";"763.1";"763.5";"1.0";"80";"Wind blowing from the north-east";"8";"";"12";"100%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"13.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"15.0";"6.6";"Trace of precipitation";"12";"";"";"";"";
"15.11.2024 17:00";"10.8";"762.1";"762.5";"0.3";"82";"Wind blowing from the north-east";"6";"";"10";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"15.0";"7.9";"";"";"";"";"";"";
"15.11.2024 14:00";"11.8";"761.8";"762.2";"-0.3";"81";"Wind blowing from the north-east";"5";"";"9";"100%.";"Drizzle, not freezing, intermittent, moderate at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"";"10.0";"8.6";"Trace of precipitation";"6";"";"";"";"";
"15.11.2024 11:00";"12.6";"762.1";"762.5";"0.4";"77";"Wind blowing from the north-east";"5";"";"9";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"8.6";"";"";"";"";"";"";
"15.11.2024 08:00";"12.4";"761.7";"762.1";"0.2";"79";"Wind blowing from the north-east";"4";"";"8";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"8.8";"0.1";"12";"Surface of ground moist.";"";"";"";
"15.11.2024 05:00";"12.4";"761.5";"761.9";"-0.7";"86";"Wind blowing from the north-east";"3";"";"5";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.1";"";"";"";"";"";"";
"15.11.2024 02:00";"12.0";"762.2";"762.6";"-0.1";"91";"Wind blowing from the east";"3";"";"5";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.5";"0.1";"6";"";"";"";"";
"14.11.2024 23:00";"12.4";"762.3";"762.7";"-0.6";"91";"Wind blowing from the north-east";"2";"";"6";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"10.9";"";"";"";"";"";"";
"14.11.2024 20:00";"12.4";"762.9";"763.3";"0.1";"91";"Wind blowing from the north-northeast";"4";"";"7";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"12.8";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"10.9";"4.0";"12";"";"";"";"";
"14.11.2024 17:00";"12.6";"762.8";"763.2";"-1.0";"93";"Wind blowing from the north-east";"3";"";"7";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"11.5";"";"";"";"";"";"";
"14.11.2024 14:00";"12.6";"763.8";"764.2";"-1.8";"88";"Wind blowing from the east-northeast";"4";"";"7";"90  or more, but not 100%";"Mist. ";"Rain.";"Drizzle.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"10.7";"2.0";"6";"";"";"";"";
"14.11.2024 11:00";"11.0";"765.6";"766.0";"-0.3";"95";"Wind blowing from the north-east";"4";"";"7";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"10.2";"";"";"";"";"";"";
"14.11.2024 08:00";"11.0";"765.9";"766.3";"-0.3";"85";"Wind blowing from the north-northeast";"4";"";"7";"90  or more, but not 100%";" ";"";"";"11.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"14.11.2024 05:00";"11.6";"766.2";"766.6";"-1.0";"85";"Wind blowing from the north-east";"4";"";"6";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.2";"";"";"";"";"";"";
"14.11.2024 02:00";"11.8";"767.2";"767.6";"-0.7";"85";"Wind blowing from the east-northeast";"3";"";"6";"90  or more, but not 100%";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.4";"No precipitation";"6";"";"";"";"";
"13.11.2024 23:00";"12.0";"767.9";"768.3";"0.2";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.2";"";"";"";"";"";"";
"13.11.2024 20:00";"12.4";"767.7";"768.1";"0.3";"84";"Wind blowing from the north-east";"4";"";"8";"100%.";" ";"";"";"";"13.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"9.7";"No precipitation";"12";"";"";"";"";
"13.11.2024 17:00";"12.8";"767.4";"767.8";"-0.1";"79";"Wind blowing from the north-east";"4";"";"8";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"9.3";"";"";"";"";"";"";
"13.11.2024 14:00";"12.8";"767.5";"767.9";"-0.9";"82";"Wind blowing from the north-east";"5";"";"9";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"9.7";"No precipitation";"6";"";"";"";"";
"13.11.2024 11:00";"12.6";"768.4";"768.8";"0.7";"82";"Wind blowing from the north-east";"5";"";"9";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"9.5";"";"";"";"";"";"";
"13.11.2024 08:00";"12.2";"767.7";"768.1";"0.2";"79";"Wind blowing from the north-east";"5";"";"9";"100%.";" ";"";"";"12.0";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"8.6";"Trace of precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"13.11.2024 05:00";"12.6";"767.5";"767.9";"-0.1";"82";"Wind blowing from the north-east";"5";"";"8";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"9.5";"";"";"";"";"";"";
"13.11.2024 02:00";"12.8";"767.6";"768.0";"0.1";"79";"Wind blowing from the north-east";"2";"";"8";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"15.0";"9.3";"Trace of precipitation";"6";"";"";"";"";
